Município,Posição,Estimativa 2019,Latitude,Longitude,Região Administrativa,Porte,i-Amb
Santana da Ponte Pensa,641,1487,-20.2523,-50.8014,Região Administrativa de São José do Rio Preto,Muito Pequeno,B
Santana de Parnaíba,57,139447,-23.4439,-46.9178,Região Metropolitana de São Paulo,Médio,B+
Santo Anastácio,253,20878,-21.9747,-51.6527,Região Administrativa de Presidente Prudente,Médio,B
Santo André,6,718773,-23.6737,-46.5432,Região Metropolitana de São Paulo,Grande,B
Santo Antônio da Alegria,443,6929,-21.0864,-47.1464,Região Administrativa de Ribeirão Preto,Pequeno,B
Santo Antônio de Posse,237,23310,-22.6029,-46.9192,Região Administrativa de Campinas,Médio,B
Santo Antônio do Aracanguá,409,8420,-20.9331,-50.49800000000001,Região Administrativa de Araçatuba,Pequeno,C
Santo Antônio do Jardim,475,5954,-22.1121,-46.6845,Região Administrativa de Campinas,Pequeno,B
Santo Antônio do Pinhal,445,6811,-22.827,-45.663,Região Administrativa de São José dos Campos,Pequeno,C
Santo Expedito,585,3111,-21.8467,-51.3929,Região Administrativa de Presidente Prudente,Muito Pequeno,A
Santos,13,433311,-23.9535,-46.335,Região Administrativa de Santos,Grande,A
Santópolis do Aguapeí,516,4777,-21.6376,-50.5044,Região Administrativa de Araçatuba,Muito Pequeno,B
Sarapuí,376,10285,-23.6397,-47.8249,Região Administrativa de Sorocaba,Pequeno,C
Sarutaiá,565,3638,-23.2721,-49.4763,Região Administrativa de Itapeva,Muito Pequeno,B
Sebastianópolis do Sul,569,3513,-20.6523,-49.925,Região Administrativa de São José do Rio Preto,Muito Pequeno,B+
Serra Azul,318,14662,-21.3074,-47.5602,Região Administrativa de Ribeirão Preto,Pequeno,B
Serra Negra,207,29229,-22.6139,-46.7033,Região Administrativa de Campinas,Médio,C+
Serrana,154,45107,-21.2043,-47.5952,Região Administrativa de Ribeirão Preto,Médio,C
Sertãozinho,61,125815,-21.1316,-47.9875,Região Administrativa de Ribeirão Preto,Médio,B+
Sete Barras,339,12832,-24.382,-47.9279,Região Administrativa de Registro,Pequeno,C+
Severínia,284,17496,-20.8108,-48.8054,Região Administrativa de Barretos,Pequeno,C+
Silveiras,460,6302,-22.6638,-44.8522,Região Administrativa de São José dos Campos,Pequeno,C
Socorro,165,41005,-22.5903,-46.5251,Região Administrativa de Campinas,Médio,B+
Sorocaba,9,679378,-23.4969,-47.4451,Região Administrativa de Sorocaba,Grande,B+
Sud Mennucci,426,7718,-20.6872,-50.9238,Região Administrativa de Araçatuba,Pequeno,B
Sumaré,28,282441,-22.8204,-47.2728,Região Administrativa de Campinas,Grande,C
Suzano,26,297637,-23.5448,-46.3112,Região Metropolitana de São Paulo,Grande,B
Suzanápolis,553,3963,-20.4981,-51.0268,Região Administrativa de Araçatuba,Muito Pequeno,C
São Bento do Sapucaí,367,10878,-22.6837,-45.7287,Região Administrativa de São José dos Campos,Pequeno,B
São Bernardo do Campo,4,838936,-23.6914,-46.5646,Região Metropolitana de São Paulo,Grande,A
São Caetano do Sul,51,161127,-23.6229,-46.5548,Região Metropolitana de São Paulo,Médio,A
São Carlos,31,251983,-22.0174,-47.886,Região Administrativa Central,Grande,B+
São Francisco,593,2821,-20.3623,-50.6952,Região Administrativa de São José do Rio Preto,Muito Pequeno,C
São Joaquim da Barra,136,51888,-20.5812,-47.8593,Região Administrativa de Franca,Médio,B
São José da Bela Vista,400,8928,-20.5935,-47.6424,Região Administrativa de Franca,Pequeno,C
São José do Barreiro,542,4147,-22.6414,-44.5774,Região Administrativa de São José dos Campos,Muito Pequeno,C
São José do Rio Pardo,130,54946,-21.5953,-46.8873,Região Administrativa de Campinas,Médio,C
São José do Rio Preto,11,460671,-20.8113,-49.3758,Região Administrativa de São José do Rio Preto,Grande,B+
São José dos Campos,5,721944,-23.1896,-45.8841,Região Administrativa de São José dos Campos,Grande,A
São João da Boa Vista,86,91211,-21.9707,-46.7944,Região Administrativa de Campinas,Médio,A
São João das Duas Pontes,605,2568,-20.3879,-50.3792,Região Administrativa de São José do Rio Preto,Muito Pequeno,C
São João de Iracema,628,1922,-20.5111,-50.3561,Região Administrativa de Araçatuba,Muito Pequeno,C+
São João do Pau d'Alho,624,2105,-21.2662,-51.6672,Região Administrativa de Presidente Prudente,Muito Pequeno,B
São Lourenço da Serra,301,15825,-23.8491,-46.9432,Região Metropolitana de São Paulo,Pequeno,C
São Luís do Paraitinga,372,10687,-23.221999999999998,-45.3109,Região Administrativa de São José dos Campos,Pequeno,C
São Manuel,166,40954,-22.7321,-48.5723,Região Administrativa de Sorocaba,Médio,A
São Miguel Arcanjo,192,32931,-23.8782,-47.9935,Região Administrativa de Sorocaba,Médio,B+
São Pedro,179,35653,-22.5483,-47.9096,Região Administrativa de Campinas,Médio,C+
São Pedro do Turvo,428,7666,-22.7453,-49.7428,Região Administrativa de Marília,Pequeno,B
São Roque,87,91016,-23.5226,-47.1357,Região Administrativa de Sorocaba,Médio,C
São Sebastião,91,88980,-23.7951,-45.4143,Região Administrativa de São José dos Campos,Médio,B
São Sebastião da Grama,348,12182,-21.7041,-46.8208,Região Administrativa de Campinas,Pequeno,C
São Simão,306,15322,-21.4732,-47.5518,Região Administrativa de Ribeirão Preto,Pequeno,C
São Vicente,20,365798,-23.9574,-46.3883,Região Administrativa de Santos,Grande,B+
Tabapuã,344,12407,-20.9602,-49.0307,Região Administrativa de São José do Rio Preto,Pequeno,C+
Tabatinga,295,16496,-21.7239,-48.6896,Região Administrativa Central,Pequeno,C
Taboão da Serra,27,289664,-23.6019,-46.7526,Região Metropolitana de São Paulo,Grande,B
Taciba,462,6285,-22.3866,-51.2882,Região Administrativa de Presidente Prudente,Pequeno,B+
Taguaí,324,13859,-23.4452,-49.4024,Região Administrativa de Itapeva,Pequeno,B
Taiaçu,461,6295,-21.1431,-48.5112,Região Administrativa de Barretos,Pequeno,C
Taiúva,490,5566,-21.1223,-48.4528,Região Administrativa de Barretos,Pequeno,A
Tambaú,239,23207,-21.7029,-47.2703,Região Administrativa de Campinas,Médio,B+
Tanabi,223,25967,-20.6228,-49.6563,Região Administrativa de São José do Rio Preto,Médio,B
Tapiratiba,336,12960,-21.4713,-46.7448,Região Administrativa de Campinas,Pequeno,B
Tapiraí,423,7807,-23.9612,-47.5062,Região Administrativa de Sorocaba,Pequeno,C
Taquaral,594,2811,-21.0737,-48.4126,Região Administrativa de Ribeirão Preto,Muito Pequeno,B
Taquaritinga,123,57177,-21.4049,-48.5103,Região Administrativa Central,Médio,B
Taquarituba,238,23218,-23.5307,-49.24100000000001,Região Administrativa de Itapeva,Médio,B
Taquarivaí,478,5852,-23.9211,-48.6948,Região Administrativa de Itapeva,Pequeno,B
Tarabai,433,7468,-22.3016,-51.5621,Região Administrativa de Presidente Prudente,Pequeno,C+
Tarumã,311,15000,-22.7429,-50.5786,Região Administrativa de Marília,Pequeno,B
Tatuí,70,121766,-23.3487,-47.8461,Região Administrativa de Sorocaba,Médio,B+
Taubaté,24,314924,-23.0104,-45.5593,Região Administrativa de São José dos Campos,Grande,B
Tejupá,525,4532,-23.3425,-49.3722,Região Administrativa de Itapeva,Muito Pequeno,C
Teodoro Sampaio,240,23148,-22.5299,-52.1682,Região Administrativa de Presidente Prudente,Médio,B
Terra Roxa,389,9370,-20.787,-48.3314,Região Administrativa de Barretos,Pequeno,B
Tietê,162,42076,-23.1101,-47.7164,Região Administrativa de Sorocaba,Médio,A
Timburi,600,2658,-23.2057,-49.6096,Região Administrativa de Marília,Muito Pequeno,C+
Torre de Pedra,613,2412,-23.2462,-48.1955,Região Administrativa de Sorocaba,Muito Pequeno,B
Torrinha,378,10010,-22.4237,-48.1731,Região Administrativa de Campinas,Pequeno,C+
Trabiju,638,1724,-22.0388,-48.3342,Região Administrativa Central,Muito Pequeno,C
Tremembé,147,47185,-22.9571,-45.5475,Região Administrativa de São José dos Campos,Médio,C
Três Fronteiras,480,5807,-20.2344,-50.8905,Região Administrativa de São José do Rio Preto,Pequeno,C
Tuiuti,444,6894,-22.8193,-46.6937,Região Administrativa de Campinas,Pequeno,C
Tupi Paulista,303,15495,-21.3825,-51.575,Região Administrativa de Presidente Prudente,Pequeno,A
Tupã,111,65524,-21.9335,-50.5191,Região Administrativa de Marília,Médio,B
Turiúba,626,2016,-20.9428,-50.1135,Região Administrativa de Araçatuba,Muito Pequeno,C+
Turmalina,637,1727,-20.0486,-50.4792,Região Administrativa de São José do Rio Preto,Muito Pequeno,C
Ubarana,459,6309,-21.165,-49.7198,Região Administrativa de São José do Rio Preto,Pequeno,C+
Ubatuba,88,90799,-23.4332,-45.0834,Região Administrativa de São José dos Campos,Médio,C+
Ubirajara,515,4780,-22.5272,-49.6613,Região Administrativa de Bauru,Muito Pequeno,C
Uchoa,377,10110,-20.9511,-49.1713,Região Administrativa de São José do Rio Preto,Pequeno,B
União Paulista,631,1844,-20.8862,-49.9025,Região Administrativa de São José do Rio Preto,Muito Pequeno,B
Uru,644,1165,-21.7866,-49.2848,Região Administrativa de Bauru,Muito Pequeno,C
Urupês,325,13809,-21.2032,-49.2931,Região Administrativa de São José do Rio Preto,Pequeno,B
Urânia,394,9114,-20.2455,-50.6455,Região Administrativa de São José do Rio Preto,Pequeno,C
Valentim Gentil,331,13326,-20.4217,-50.0889,Região Administrativa de São José do Rio Preto,Pequeno,C+
Valinhos,60,129193,-22.9698,-46.9974,Região Administrativa de Campinas,Médio,C+
Valparaíso,220,26480,-21.2229,-50.8699,Região Administrativa de Araçatuba,Médio,A
Vargem,374,10537,-22.887,-46.4124,Região Administrativa de Campinas,Pequeno,C
Vargem Grande Paulista,134,52597,-23.5993,-47.022,Região Administrativa de Campinas,Médio,A
Vargem Grande do Sul,161,42845,-21.8322,-46.8913,Região Metropolitana de São Paulo,Médio,C+
Vera Cruz,369,10843,-22.2183,-49.8207,Região Administrativa de Marília,Pequeno,C
Vinhedo,97,78728,-23.0302,-46.9833,Região Administrativa de Campinas,Médio,B+
Viradouro,266,18898,-20.8734,-48.293,Região Administrativa de Barretos,Pequeno,B
Vista Alegre do Alto,403,8810,-21.1692,-48.6284,Região Administrativa de Barretos,Pequeno,B
Vitória Brasil,632,1840,-20.1956,-50.4875,Região Administrativa de São José do Rio Preto,Muito Pequeno,C
Votorantim,65,122480,-23.5446,-47.4388,Região Administrativa de Sorocaba,Médio,B
Votuporanga,82,94547,-20.4237,-49.9781,Região Administrativa de São José do Rio Preto,Médio,A
Várzea Paulista,68,121838,-23.2136,-46.8234,Região Administrativa de Campinas,Médio,B+
Zacarias,598,2718,-21.0506,-50.0552,Região Administrativa de São José do Rio Preto,Muito Pequeno,B
Águas da Prata,415,8180,-21.9319,-46.7176,Região Administrativa de Campinas,Pequeno,B
Águas de Lindoia,269,18705,-22.4733,-46.6314,Região Administrativa de Campinas,Pequeno,C+
Águas de Santa Bárbara,467,6075,-22.8812,-49.2421,Região Administrativa de Sorocaba,Pequeno,B
Águas de São Pedro,572,3451,-22.5977,-47.8734,Região Administrativa de Campinas,Muito Pequeno,C+
Álvares Florence,563,3679,-20.3203,-49.9141,Região Administrativa de São José do Rio Preto,Muito Pequeno,C
Álvares Machado,230,24915,-22.0764,-51.4722,Região Administrativa de Presidente Prudente,Médio,C
Álvaro de Carvalho,499,5227,-22.0841,-49.719,Região Administrativa de Marília,Pequeno,C+
Óleo,608,2496,-22.9435,-49.3419,Região Administrativa de Marília,Muito Pequeno,C
